date,workout_type,duration_min,distance_km,calories,avg_heart_rate
2026-07-17,Walk,56,5.19,224,106.0
2026-07-18,Yoga,35,,105,92.0
2026-07-19,Walk,78,7.24,312,96.0
2026-07-20,Yoga,47,,141,102.0
2026-07-21,Strength,62,,372,140.0
2026-07-22,Rest,0,,0,
2026-07-23,Rest,0,,0,
2026-07-24,Rest,0,,0,
2026-07-25,Run,36,6.71,360,166.0
2026-07-26,Yoga,22,,66,89.0
2026-07-27,Cycling,85,31.76,680,160.0
2026-07-28,Strength,57,,342,140.0
2026-07-29,Walk,61,5.71,244,114.0
2026-07-30,Run,23,4.31,230,174.0
2026-07-31,Rest,0,,0,
2026-08-01,Run,56,10.5,560,144.0
2026-08-02,Rest,0,,0,
2026-08-03,Strength,43,,258,122.0
2026-08-04,Cycling,83,31.19,664,129.0
2026-08-05,Walk,70,6.58,280,100.0
2026-08-06,Rest,0,,0,
2026-08-07,Rest,0,,0,
2026-08-08,Rest,0,,0,
2026-08-09,Rest,0,,0,
2026-08-10,Rest,0,,0,
2026-08-11,Strength,50,,300,122.0
2026-08-12,Run,49,9.26,490,174.0
2026-08-13,Rest,0,,0,
2026-08-14,Walk,28,2.65,112,109.0
2026-08-15,Run,41,7.77,410,167.0
2026-08-16,Rest,0,,0,
2026-08-17,Rest,0,,0,
2026-08-18,Yoga,27,,81,89.0
2026-08-19,Strength,33,,198,112.0
2026-08-20,Walk,33,3.14,132,106.0
2026-08-21,Strength,30,,180,123.0
2026-08-22,Run,20,3.81,200,153.0
2026-08-23,Rest,0,,0,
2026-08-24,Yoga,34,,102,88.0
2026-08-25,Strength,65,,390,133.0
2026-08-26,Rest,0,,0,
2026-08-27,Run,20,3.82,200,142.0
2026-08-28,Strength,60,,360,134.0
2026-08-29,Rest,0,,0,
2026-08-30,Walk,70,6.7,280,91.0
